id;title;description;image;keywords;synops_small;synops_med;synops_long;category;channel;language;release_date;duration_sec;topic;Start;End;Integers Missing
494;Ivanhoe;Ivanhoe fights for the honour of the kidnapped King Richard.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bp2f6v.jpg;BBC, iPlayer, TV, Ivanhoe;Ivanhoe fights for the honour of the kidnapped King Richard.;Swashbuckling spectacular based on the novel by Sir Walter Scott in which Ivanhoe fights for the honour of the kidnapped King Richard.;Swashbuckling spectacular based on the novel by Sir Walter Scott. Ivanhoe the knight fights for the honour of King Richard, kidnapped in Austria, and saves a wealthy merchant who agrees to help raise the Lionheart's ransom.;Film - Adventure;bbc_two;FALSE;01/01/1952;6136;films;494.0;495.0;0.0
495;Fort Apache;A commanding officer, bitter after his demotion, takes charge at a remote fort in Arizona.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08y06kg.jpg;BBC, iPlayer, TV, Fort Apache;A commanding officer, bitter after his demotion, takes charge at a remote fort in Arizona.;The first of John Ford's cavalry trilogy, in which a demoted commanding officer takes his resentment out on the men of Fort Apache, a remote outpost in the Arizona desert.;The first of John Ford's cavalry trilogy, in which a commanding officer, bitter at his demotion after the Civil War, takes his resentment out on the men of Fort Apache, a remote outpost in the Arizona desert.   He is determined to tighten up discipline but eventually shows his ignorance of American Indian behaviour when he leads his troops into a deadly confrontation.;Film - Western;bbc_two;FALSE;01/01/1948;7337;films;495.0;496.0;0.0
496;The Light between Oceans;A rowboat brings a terrible dilemma into the lives of war veteran Tom and his wife Isabel.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jj19l.jpg;BBC, iPlayer, TV, The Light between Oceans;A rowboat brings a terrible dilemma into the lives of war veteran Tom and his wife Isabel.;War veteran Tom is surprised to be romanced by young local Isabel. Their isolated relationship is tested by tragedy, until a drifting rowboat brings hope into their lives – and a terrible dilemma.;In December 1918, traumatized ex-soldier Tom Sherbourne is hired as keeper to work alone for six months at a lighthouse on Janus Rock island, off Australia. On the mainland he meets joyful local girl Isabel Graysmark and they fall in love. After they marry Isabel moves to Janus Rock with Tom, now permanent in the job.  As time passes Isabel has two miscarriages. Just after her second loss Tom finds a rowboat drifted to shore with a dead man and a live baby girl aboard. Isabel persuades him to keep the baby as if she were their child, and he reluctantly agrees. Just before the baby’s baptism in town Tom sees local widow Hannah Roennfeldt praying in the churchyard and realises she is the child’s true mother. He writes her an anonymous note saying the missing girl is safe. A few years later when Hannah, daughter of local landowner Septimus Potts, is sent further proof that her child was found she has the influence to make sure there is a fuller investigation – and painful revelations result.;Film - Romance;bbc_two;Contains some sexual content.;01/01/2016;7433;films;496.0;497.0;0.0
497;Bachelor Knight;A man agrees to romance a woman who has a crush on him until her infatuation wears off.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08y3mtj.jpg;BBC, iPlayer, TV, Bachelor Knight;A man agrees to romance a woman who has a crush on him until her infatuation wears off.;Comedy about a teacher (Cary Grant) whose playboy antics are curbed by a judge who insists that he romance a girl (Shirley Temple), until her crush on him wears off.;Comedy about a teacher (Cary Grant) whose playboy antics are curbed by a judge who insists that he romance a girl (Shirley Temple), until her crush on him wears off.;Film - Romance;bbc_two;FALSE;01/01/1947;5454;films;497.0;498.0;0.0
498;The Young Victoria;After a controlled childhood, Victoria (Emily Blunt) faces a fight to become queen.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jxqzy.jpg;BBC, iPlayer, TV, The Young Victoria;After a controlled childhood, Victoria (Emily Blunt) faces a fight to become queen.;Period drama starring Emily Blunt. After a confined childhood, Princess Victoria faces a fight to become queen, then is caught between the schemes of men out to steer her rule.;Period drama from Downton Abbey writer Julian Fellowes. After a confined and controlled childhood, Princess Victoria faces a fight just to become queen, then is caught between the schemes of more men out to steer her rule - the Belgian king has primed Prince Albert to woo her, while politician Lord Melbourne seeks to charm her.;Film - Period;bbc_two;FALSE;01/01/2009;5763;films;498.0;499.0;0.0
499;Lucky Jim;A junior professor (Ian Carmichael) tries to impress the new university chancellor.;https://ichef.bbci.co.uk/images/ic/{recipe}/p091vq4y.jpg;BBC, iPlayer, TV, Lucky Jim;A junior professor (Ian Carmichael) tries to impress the new university chancellor.;Comedy about a well-intentioned junior professor who hopes to impress the new university chancellor, but only succeeds in messing up everything he touches.;Comedy about a well-intentioned junior history professor in an undistinguished university. Hoping to impress the new chancellor, he succeeds only in messing up everything he touches.   Based on the satirical novel by Kingsley Amis.;Film - Comedy;bbc_two;FALSE;01/01/1957;5489;films;499.0;500.0;0.0
500;Rancho Notorious;Unusual western about a young man hunting for the brutal killers of his fiancee.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bhqj29.jpg;BBC, iPlayer, TV, Rancho Notorious;Unusual western about a young man hunting for the brutal killers of his fiancee.;Unusual western about a young man hunting for the brutal killers of his fiancee. A rare foray into the genre for director Fritz Lang.;Unusual western about a young man hunting for the brutal killers of his fiancee. The only clue he has is the mysterious word 'Chuck-a-Luck' whispered by a dying victim. A rare foray into the genre for director Fritz Lang.;Film - Western;bbc_two;FALSE;01/01/1952;5107;films;500.0;501.0;0.0
501;Killing Escobar;The true story of a Scottish mercenary hired to kill Colombian drug lord Pablo Escobar.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09fxtjt.jpg;BBC, iPlayer, TV, Killing Escobar;The true story of a Scottish mercenary hired to kill Colombian drug lord Pablo Escobar.;Documentary telling the true story of the Scottish mercenary hired to kill the world’s most notorious drug lord, Pablo Escobar. With exclusive interviews, archive footage and drama reconstruction.;Documentary telling the incredible true story of Scottish mercenary Peter McAleese, who was hired to kill Colombian drug lord Pablo Escobar in 1989. With unprecedented access to Peter and other members of his team, this is the first full account of that fateful mission and the dark consequences for those involved.  With full access to McAleese’s personal archive, as well as never-before-seen amateur footage of the operation, Killing Escobar weaves this material alongside dramatic reconstruction and interviews from McAleese and his fellow mercenaries. We also hear from one of Pablo Escobar’s bodyguards, members of America’s DEA and the security chief of the Colombian drug cartel that wanted Escobar eliminated.  The film also provides a deeply personal character study of Peter McAleese, a man trained to fight and kill, and the cost this has had on himself and his family. McAleese actively sought out war and conflict but admits that he, and those close to him, paid a costly price for his desire to seek adventure.  McAleese’s youth in postwar working class Glasgow was marked by poverty and violence and he quickly learned how to fight. Leaving Glasgow for the Parachute Regiment in 1960, Peter learned to channel his aggression into soldiering, seeing action in the SAS before fighting as a mercenary in Africa throughout the 10s and 80s.  In 1989, McAleese and his friend Dave Tomkins were hired by a Colombian drug cartel to undertake a mission to kill the world’s biggest cocaine dealer, Pablo Escobar. In Colombia, he gathered a select team of ex-Special Forces operatives and began training for a lightning raid on Escobar’s Hacienda. After 11 weeks of intense preparation, the men launched the operation which ultimately led to disaster and would have a devastating effect on McAleese and others.;Film;bbc_scotland;Contains strong language and some upsetting scenes.;05/04/2021;5368;films;501.0;502.0;0.0
502;The Man in the White Suit;Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09pcs1c.jpg;BBC, iPlayer, TV, The Man in the White Suit;Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.;Biting Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre but finds that everyone wants to destroy his formula.;Biting Ealing satire about an eccentric research scientist working in a menial job in a textile factory, who invents a fabric that never gets dirty and never wears out. When the tycoons of the clothes industry discover his secret, they ruthlessly set out to destroy the formula, and the scientist is forced to go on the run, wearing a suit made from the miracle yarn, with just about everyone in pursuit.;Film - Comedy;bbc_two;FALSE;01/01/1951;4912;films;502.0;503.0;0.0
503;Vivacious Lady;A young professor (James Stewart) impulsively marries a singer and has to face his family.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08dswzf.jpg;BBC, iPlayer, TV, Vivacious Lady;A young professor (James Stewart) impulsively marries a singer and has to face his family.;Comedy. A young professor impulsively marries a nightclub singer and has to break the news to his conservative parents.;Entertaining comedy in which a young professor impulsively marries a wild New York nightclub singer but begins to regret the decision when he returns to his small-town home to face another kind of music - the reaction of his conservative parents.;Film - Comedy;bbc_two;FALSE;01/01/1938;5190;films;503.0;504.0;0.0
504;Monsters vs Aliens: Night of the Living Carrots;After a mutant alien pumpkin explodes on a carrot garden, zombie carrots attack the area.;https://ichef.bbci.co.uk/images/ic/{recipe}/p04d9tr9.jpg;BBC, iPlayer, TV, Monsters vs Aliens: Night of the Living Carrots;After a mutant alien pumpkin explodes on a carrot garden, zombie carrots attack the area.;Animation. After a mutant alien pumpkin explodes on the Murphys' carrot garden, zombie carrots start attacking the area, and it's up to the monsters to save the night again.;Animated Halloween Monsters v Aliens special. After a mutant alien pumpkin explodes on the Murphys' carrot garden, zombie carrots start attacking the immediate area, and it's up to the monsters to save the night again.;Film - Family;cbbc;FALSE;01/01/2011;690;films;504.0;505.0;0.0
505;Bill;Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07j6wv1.jpg;BBC, iPlayer, TV, Bill;Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.;Family comedy from the performers of Horrible Histories. Young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London.;1593. While King Philip of Spain plots to kill Queen Elizabeth of England, young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London - despite the theatres being closed due to plague. Luckily the Queen desires a new play - unluckily she chooses creepy Lord Crawley to write it.;Film - Family;bbc_one;FALSE;01/01/2015;5230;films;505.0;506.0;0.0
506;Emma;Gwyneth Paltrow stars as Emma Woodhouse who considers herself an adept matchmaker.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08yq34v.jpg;BBC, iPlayer, TV, Emma;Gwyneth Paltrow stars as Emma Woodhouse who considers herself an adept matchmaker.;Adaptation of the Jane Austen classic about a privileged young woman's misguided attempts at matchmaking.;Adaptation of the Jane Austen classic about a privileged young woman's misguided attempts at matchmaking.  Wealthy and charming Emma Woodhouse is convinced she knows what is best for everyone's love lives. Having never been in love herself, she is naive about matters of the heart and is gently guided by the patient Mr Knightley, a family friend whom she regards as a brother. But when Emma falls for a newcomer to the village, the eligible bachelor Mr Churchill, she fails to recognise that her own true love may have been right before her eyes all along.;Film - Period;bbc_two;FALSE;01/01/1996;6855;films;506.0;507.0;0.0
507;I Am Greta;Intimate documentary about a young girl who has become the voice of a generation.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09232l3.jpg;BBC, iPlayer, TV, I Am Greta;Intimate documentary about a young girl who has become the voice of a generation.;Intimate documentary about a young girl who has become the voice of a generation. The story of teenage climate activist Greta Thunberg is told through compelling, never-before-seen footage.;The story of teenage climate activist Greta Thunberg is told through compelling, never-before-seen footage in this intimate documentary about a young girl who has become the voice of a generation.   Starting with her one-person school strike for climate justice outside the Swedish Parliament, the film follows Greta - a shy student with Asperger’s - as she rises to prominence, and her galvanising global impact as she sparks school strikes around the world.   The film culminates with her gruelling wind-powered voyage across the Atlantic Ocean to speak at the UN Climate Action Summit in New York City. En route, in an intensely emotional moment, Greta reflects on the enormous toll her mission has exacted.;Documentary Film;bbc_three;Contains some strong language.;01/03/2021;5400;films;507.0;508.0;0.0
508;Destroyer;LAPD detective Erin Bell goes on a last-ditch personal mission. Starring Nicole Kidman.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09rr46k.jpg;BBC, iPlayer, TV, Destroyer;LAPD detective Erin Bell goes on a last-ditch personal mission. Starring Nicole Kidman.;LAPD detective Erin Bell embarks on a last-ditch personal mission to track down a charismatic criminal, whom she went undercover to expose years earlier. Starring Nicole Kidman.;Damaged LAPD detective Erin Bell embarks on a last-ditch personal mission to track down charismatic criminal Silas, whom she went undercover to expose years earlier. That operation imploded, and Bell’s personal failings could sabotage this new quest, as they have already destroyed her family life. Starring Nicole Kidman.;Film - Crime;bbc_one;Contains very strong language, some sexual content, some violence and disturbing scenes.;01/01/2019;6698;films;508.0;509.0;0.0
509;The Babadook;A child's fear of monsters worsens when a mysterious pop-up book appears on his bookshelf.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08trf8p.jpg;BBC, iPlayer, TV, The Babadook;A child's fear of monsters worsens when a mysterious pop-up book appears on his bookshelf.;Unsettling Australian horror tale. Widow Amelia’s worries about her highly strung young son’s behaviour worsen when a mysterious pop-up book inspires fresh fears.;Single mother Amelia struggles to raise her demanding six-year-old son Samuel alongside working shifts in an old people’s home. The kid’s behavioural problems stem from a fear of lurking monsters, against which he prepares weapons, which does not go down well at his school. Bedtimes are difficult, and Samuel usually ends up sleeping in Amelia’s bed, with disturbed nights the result.  With his seventh birthday looming - also the anniversary of his father’s death - the discovery of a strange pop-up book titled Mister Babadook on his bookshelf unleashes a sinister presence in the house.;Film - Horror;bbc_two;Contains some strong language and upsetting scenes.;01/01/2014;5313;films;509.0;510.0;0.0
510;Suspicion;Thriller. An heiress (Joan Fontaine) thinks her husband (Cary Grant) wants to kill her.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08dx6ng.jpg;BBC, iPlayer, TV, Suspicion;Thriller. An heiress (Joan Fontaine) thinks her husband (Cary Grant) wants to kill her.;Classic Alfred Hitchcock thriller about a timid heiress who becomes convinced that her husband is trying to kill her.;Classic thriller in which a timid heiress becomes convinced that her husband is trying to kill her.   After escaping from her oppressive parents, the woman meets and marries a fortune hunter. At first, her happiness prevents her from reflecting on his character, but when events take a sinister twist, she fears that his intentions are murderous.   Directed by Alfred Hitchcock, from Frances Iles's novel. Joan Fontaine won an Oscar for her role.;Film - Thriller;bbc_two;FALSE;01/01/1941;5721;films;510.0;511.0;0.0
511;Effie Gray;Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).;https://ichef.bbci.co.uk/images/ic/{recipe}/p05m6cbx.jpg;BBC, iPlayer, TV, Effie Gray;Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).;Drama based on a true story. When young Effie Gray becomes the wife of John Ruskin, it soon becomes apparent that Ruskin regards her as a muse rather than a wife.;When young Effie Gray becomes the wife of John Ruskin, one of the most distinguished writers and critics of the day, who has known her since her childhood, it soon becomes apparent that Ruskin regards her as a muse rather than a wife, and the stifling atmosphere of their home and Ruskin's overbearing wealthy parents soon take a toll on Effie's health.   A trip back to Scotland for Ruskin to have his portrait painted by his protege John Everett Millais increases the distance between husband and wife, but the sympathy shown by Millais begins to offer her a release.;Film - Biopic;bbc_two;Contains adult themes.;01/01/2014;5933;films;511.0;512.0;0.0
512;Crossfire;A detective lays a trap for an anti-Semitic soldier who murdered a Jewish war veteran.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09xcltg.jpg;BBC, iPlayer, TV, Crossfire;A detective lays a trap for an anti-Semitic soldier who murdered a Jewish war veteran.;Stark, claustrophobic thriller about racial intolerance. A detective lays a trap for an anti-Semitic soldier who murdered a Jewish war veteran. Starring Robert Mitchum.;Stark, claustrophobic thriller about an anti-Semitic soldier who kills a Jewish war veteran, evading detection by dint of his loyal friends' protection. But a detective is determined that the crime will not go unsolved and sets about laying a trap for the murderer. Based on the novel 'The Brick Foxhole' by Richard Brooks.;Film - Thriller;bbc_two;FALSE;01/01/1947;4921;films;512.0;513.0;0.0
513;Wallace and Gromit: A Matter of Loaf and Death;Wallace and Gromit's business faces danger when a killer starts targeting local bakers.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08q8m6y.jpg;BBC, iPlayer, TV, Wallace and Gromit: A Matter of Loaf and Death;Wallace and Gromit's business faces danger when a killer starts targeting local bakers.;Comic adventure starring the hapless inventor and his canine companion. Wallace and Gromit's new bakery business faces danger when the 'Cereal Killer' targets the town's bakers.;Wallace and Gromit have opened a new bakery - Top Bun - and business is booming, not least because a deadly Cereal Killer has murdered all the other bakers in town. Gromit is worried that they may be the next victims, but Wallace does not care, as he has fallen head over heels in love with Piella Bakewell, former star of the Bake-O-Lite bread commercials. So Gromit is left to run things on his own, when he would much rather be getting better acquainted with Piella's lovely pet poodle Fluffles.  But then Gromit makes a shocking discovery which points to the killer's true identity. Can he save his master from becoming the next baker to be butchered? And does Fluffles know more than she is saying? It all adds up to a classic 'who-doughnut' mystery, as four-time Academy Award-winning director Nick Park creates a hilarious new masterpiece in the tradition of 'master of suspense' Alfred Hitchcock.  Featuring the voices of Peter Sallis (Wallace) and Sally Lindsay (Piella Bakewell).;Film - Family;cbbc;FALSE;12/25/2008;1733;films;513.0;514.0;0.0
514;Captain Fantastic;A father (Viggo Mortensen) raises his six kids, living off grid in the forest.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jjcqb.jpg;BBC, iPlayer, TV, Captain Fantastic;A father (Viggo Mortensen) raises his six kids, living off grid in the forest.;A father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world.;Deep in the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, beginning a journey that challenges his idea of what it means to be a parent.;Comedy Drama;bbc_two;Contains very strong language and some upsetting scenes.;01/01/2016;6576;films;514.0;515.0;0.0
515;Giant Little Ones;The lives of two teenagers are upended after an unexpected incident at a birthday party.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09rrydd.jpg;BBC, iPlayer, TV, Giant Little Ones;The lives of two teenagers are upended after an unexpected incident at a birthday party.;The lives of two teenage boys, best friends since childhood, are changed forever after an unexpected incident at a birthday party.;Teenage boys Franky and Ballas, best friends since childhood, are stars of the high school swim team, handsome and popular with the girls. After an unexpected incident at Franky's seventeenth birthday party, their lives are changed forever.;Film - Drama;bbc_one;Contains very strong language, some sexual content and some violence.;01/01/2019;5098;films;515.0;516.0;0.0
516;Lara Croft: Tomb Raider;The heroine races against time to find a relic before it falls into the wrong hands.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07j8bh3.jpg;BBC, iPlayer, TV, Lara Croft: Tomb Raider;The heroine races against time to find a relic before it falls into the wrong hands.;Action tale adapted from the popular video game in which the eponymous heroine (Angelina Jolie) races against time to find an ancient relic before it falls into the wrong hands.;Action tale adapted from the popular video game in which the eponymous heroine races against time to find an ancient relic before it falls into the wrong hands. Leaving behind her life of luxury, the highly trained adventurer travels to exotic and dangerous locales, where she battles a variety of fantastical creatures in the knowledge that the fate of mankind rests in her hands.;Film - Adventure;bbc_three;FALSE;01/01/2001;5614;films;516.0;517.0;0.0
517;The Outlaw;Unconventional western about the life of legendary outlaw Billy the Kid.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09m5mdc.jpg;BBC, iPlayer, TV, The Outlaw;Unconventional western about the life of legendary outlaw Billy the Kid.;Unconventional western about the life of outlaw Billy the Kid, including his partnership with Doc Holliday and clashes with lawman Pat Garrett. Stars Jane Russell and Jack Buetel.;Unconventional western about the life of outlaw Billy the Kid, including his partnership with Doc Holliday and clashes with lawman Pat Garrett. Stars Jane Russell and Jack Buetel.;Film - Western;bbc_two;FALSE;01/01/1943;6655;films;517.0;518.0;0.0
518;Can't Get You Out of My Head;How did we get here? And how do we get out?;https://ichef.bbci.co.uk/images/ic/{recipe}/p096gdr4.jpg;BBC, iPlayer, TV, Cant Get You Out of My Head, Series 1: 6. Part Six - Are We Pigeon? Or Are We Dancer?;How did we get here? And how do we get out?;;The final episode tells how the strange paralysis that grips us today was created. How all the different forces of our age - that started out as separate have come together to create what is a block against imagining another kind of future than this.  How, money and debt, melancholy over the loss of empire, the strange roots of modern conspiracy theories, the history of China, opium and opioids, Artificial Intelligence - and love and power have all fed into creating the present time of anxiety and fearfulness about the future.  And whether modern culture, despite its radicalism, is really also part of the rigid system - in the West and in Russia and China - where those in power have run out of all ideas. The film also lays out what are the different possible roads from here into the future, and the choices we will have to make about the very different futures we will have to choose very soon.;Documentary Film;bbc_webonly;Contains very strong language.;02/11/2021;7190;films;518.0;519.0;0.0
519;Top Hat;Astaire and Rogers musical. An American dancer falls in love with the guest in his hotel.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08cf089.jpg;BBC, iPlayer, TV, Top Hat;Astaire and Rogers musical. An American dancer falls in love with the guest in his hotel.;Classic Astaire and Rogers musical. An American in London falls for a girl who flees to Venice because she thinks he is already married. Songs include Cheek to Cheek and Top Hat.;In the quintessential Astaire and Rogers musical, an American dancer staying at a hotel in London falls in love with the guest staying in the room below. However, she gets her wires crossed, convinces herself that the dancer is already hitched and hotfoots it off to Venice. Classic numbers include Cheek to Cheek and Top Hat. This is Fred and Ginger's fourth pairing, but the first with a screenplay written specifically for them.;Film - Musical;bbc_two;FALSE;01/01/1935;5700;films;519.0;520.0;0.0
520;Pride and Prejudice;Period drama based on Jane Austen's novel about the husband-hunting Bennet sisters.;https://ichef.bbci.co.uk/images/ic/{recipe}/p091vqpw.jpg;BBC, iPlayer, TV, Pride and Prejudice;Period drama based on Jane Austen's novel about the husband-hunting Bennet sisters.;Adaptation of Jane Austen's novel about the five husband-hunting Bennet sisters and the impact of Mr Darcy on the spirited Elizabeth.;Period drama based on Jane Austen's classic novel about the five husband-hunting Bennet sisters and the impact of the handsome but apparently aloof Mr Darcy on the spirited Elizabeth. Though attracted to Darcy, Elizabeth - the second of the Bennet daughters - is repelled by his cold manner and by rumours of the man's cruelty towards one of his friends.;Film - Period;bbc_two;FALSE;01/01/1940;6776;films;520.0;521.0;0.0
521;Mr Blandings Builds His Dream House;Comedy starring Cary Grant. A family try to fulfil their dream of owning a country house.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08dym27.jpg;BBC, iPlayer, TV, Mr Blandings Builds His Dream House;Comedy starring Cary Grant. A family try to fulfil their dream of owning a country house.;Comedy starring Cary Grant and Myrna Loy. A family forced out of their Manhattan apartment court disaster when they buy a dilapidated country house, fit only for demolition.;A family forced to quit their expensive New York apartment court disaster as they try to fulfil their dream of owning their own house in the country. A sharp estate agent sells them an ancient dilapidated place in Connecticut, which horrified surveyors insist is only fit for demolition.;Film - Comedy;bbc_two;FALSE;01/01/1948;5402;films;521.0;522.0;0.0
522;The Gay Divorce;Guy Holden (Fred Astaire) rescues a damsel in distress in a crowded customs shed.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08dsx00.jpg;BBC, iPlayer, TV, The Gay Divorce;Guy Holden (Fred Astaire) rescues a damsel in distress in a crowded customs shed.;Fred Astaire and Ginger Rogers musical. Guy Holden comes to the rescue of a trapped damsel in distress in a crowded customs shed.;Guy Holden comes to the rescue of a trapped damsel in distress in a crowded customs shed. More frustrating encounters follow until Mimi mistakes Guy for a professional correspondent in a Brighton hotel.;Film - Musical;bbc_two;FALSE;01/01/1934;6010;films;522.0;523.0;0.0
523;The Relic;Suspense thriller about a deadly creature at large in the Chicago Field Museum.;https://ichef.bbci.co.uk/images/ic/{recipe}/p06586xx.jpg;BBC, iPlayer, TV, The Relic;Suspense thriller about a deadly creature at large in the Chicago Field Museum.;Suspense thriller. When a crate of biological specimens from the Amazon jungle is sent to Chicago's Natural History Museum, a series of gruesome murders starts. Tom Sizemore stars.;Suspense thriller. When a crate of biological specimens from the Amazon jungle is sent to Chicago's Natural History Museum, a series of gruesome murders starts. As Police Lieutenant Vincent D'Agosta and evolutionary biologist Margo Green join forces to investigate the bizarre murders, they soon realise that deep in the bowels of the museum something unimaginable is lurking.;Film - Horror;bbc_three;Contains some strong language and some violence.;01/01/1997;6146;films;523.0;524.0;0.0
524;El Cid;The epic story of the 11th-century Spanish hero Rodrigo Diaz de Vivar - known as El Cid.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b8y4k4.jpg;BBC, iPlayer, TV, El Cid;The epic story of the 11th-century Spanish hero Rodrigo Diaz de Vivar - known as El Cid.;Epic story of the Spanish hero (Charlton Heston), following his involvement in royal plots, his tempestuous marriage, and the campaign he led against the Moorish invaders in Spain.;The epic story of the 11th-century Spanish hero Rodrigo Diaz de Vivar, better known as El Cid. Involved in a tempestuous marriage to the beautiful Chimene, Rodrigo plots against various royal factions to gain power after the death of King Ferdinand, but his greatest campaign is to rid Spain of its Moorish invaders. He drives the Moors to their last outpost - Valencia - for a tumultuous and decisive battle.;Film - Adventure;bbc_two;FALSE;01/01/1961;10297;films;524.0;525.0;0.0
525;Rory's Way;Moving drama about an ageing Scotsman who visits his estranged son and family in America.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bb1css.jpg;BBC, iPlayer, TV, Rorys Way;Moving drama about an ageing Scotsman who visits his estranged son and family in America.;Drama. Brian Cox stars as an ageing Scotsman who visits his estranged son and family in San Francisco.;Rory MacNeil (Brian Cox) is an ageing Scotsman whose health is deteriorating, leading him to visit his estranged son Ian (JJ Feild) and family. Rory’s boorish manner initially fails to charm San Francisco’s citizens, but then a chance encounter leads to an unconventional relationship with beautiful museum curator Claudia (Rosanna Arquette), revealing Rory's softer side.;Film;bbc_scotland;Contains some strong language.;01/02/2022;6173;films;525.0;526.0;0.0
526;The Jackal;Violent action thriller about the FBI's attempts to catch a deadly master of disguise.;https://ichef.bbci.co.uk/images/ic/{recipe}/p080yqln.jpg;BBC, iPlayer, TV, The Jackal;Violent action thriller about the FBI's attempts to catch a deadly master of disguise.;Violent action thriller about the FBI's attempts to catch a master of disguise who a Russian mafia boss has hired to kill a top figure in the US government. Starring Bruce Willis.;Violent action thriller. Russian mobster Terek Murad has declared open season on the Russian militia and the FBI over the shooting of his brother in a Moscow nightclub. He hires the Jackal, an anonymous highly-trained assassin, to kill the head of the FBI. With no other leads, FBI deputy director Carter Preston enlists the services of Declan Mulqueen, an imprisoned IRA sniper, to track the Jackal down.;Film - Thriller;bbc_three;Contains very strong language and some violence.;01/23/2019;6964;films;526.0;527.0;0.0
527;Mission: Joy – With Archbishop Desmond Tutu and the Dalai Lama;A feel-good film that follows the 2015 meeting between the Dalai Lama and Archbishop Tutu.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bp1943.jpg;BBC, iPlayer, TV, Mission: Joy – With Archbishop Desmond Tutu and the Dalai Lama;A feel-good film that follows the 2015 meeting between the Dalai Lama and Archbishop Tutu.;A feel-good film that follows the meeting between the Dalai Lama and Archbishop Tutu in 2015 during which they show how it is possible find joy despite life's challenges.;Deeply moving and laugh-out-loud funny, Mission: Joy gives unprecedented access to the friendship between His Holiness the Dalai Lama and the late Archbishop Tutu. The self-described ‘mischievous brothers’ were filmed over five days by an award-winning team who captured a relationship built on truth, honesty and, most importantly, joy.  The film goes behind the scenes at the Dalai Lama’s residence in Dharamsala, where Archbishop Tutu and the Dalai Lama recount stories from their lives, both having lived through periods of incredible difficulty.  With genuine affection, mutual respect and a healthy dose of teasing, the two friends impart lessons gleaned from experience, ancient traditions and cutting-edge science to show that it is possible to live with joy in the face of all of life’s challenges, from the extraordinary to the mundane. Mission: Joy is an antidote for our times.;Documentary;bbc_four;FALSE;02/23/2022;4799;films;527.0;528.0;0.0
528;Little Joe;A senior plant breeder brings one of her creations home as a gift for her teenaged son.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bk5jnx.jpg;BBC, iPlayer, TV, Little Joe;A senior plant breeder brings one of her creations home as a gift for her teenaged son.;Alice, a dedicated senior plant breeder engaged in developing new species, brings one of her creations home as a gift for her teenaged son. From BBC Films.;Alice, a dedicated senior plant breeder engaged in developing new species, brings one of her creations home as a gift for her teenaged son. The plant has been genetically engineered to create happiness, but at what cost? From BBC Films.;Film - Horror;bbc_two;Contains some strong language.;01/01/2018;5863;films;528.0;529.0;0.0
